Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
Italy,Sassari,111778,69.40,28000,31100,20600,10100,400,,,,,,,,,,,,,,,,,,,,,,
Italy,Taranto,201100,218.43,32600,62200,43700,2000,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Trieste,203767,85.00,21800,300,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Turin,1430286,250.00,279500,549000,316400,116100,1800,,,,,,,,,,,,,,,,,,,,,,
Italy,Vicenza,100005,78.00,19000,14700,18700,11100,1600,,,,,,,,,,,,,,,,,,,,,,
Italy,MacroAgglo Milan-Monza,2135450,481.00,380500,393800,278900,70900,3600,,,,,,,,,,,,,,,,,,,,,,
Italy,Messina,243222,213.00,16700,37600,45800,44200,7500,,,,,,,,,,,,,,,,,,,,,,
Italy,Padova,210400,93.03,21000,104600,40600,13300,2000,,,,,,,,,,,,,,,,,,,,,,
Italy,Perugia,166969,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Italy,Pescara,117166,34.38,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Italy,Syracuse,118442,208.00,12700,20000,25000,23800,10700,,,,,,,,,,,,,,,,,,,,,,
Italy,Terni,111210,212.43,29100,33100,12000,13100,600,,,,,,,,,,,,,,,,,,,,,,
Italy,Venice,259200,415.90,39300,28600,24900,20600,2800,,,,,,,,,,,,,,,,,,,,,,
Italy,Verona,258500,198.92,41200,59000,59600,56400,19500,,,,,,,,,,,,,,,,,,,,,,
Latvia,Riga,641007,304.00,133900,188900,143900,54400,5000,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,-1,-1,-1.00,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Kaunas,295585,157.00,84200,79100,31600,3100,0,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Klaipeda,154326,98.00,28400,34500,37800,13400,4500,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Siauliai,102000,81.00,23600,30000,22000,4700,100,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Vilnius,574339,401.00,128300,122100,80800,19300,1100,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Luxembourg,153410,135.65,40600,39400,41400,20700,2600,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Bitola,92905,10.35,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Kumanovo,108048,12.36,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Skopje,506926,63.29,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Tetovo,90650,7.24,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Malta,Valletta,277600,54.125,23200,14600,21600,6700,1100,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Podgorica,185937,1441.00,34400,61300,31300,5500,0,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Alkmaar,240505,236.69,48500,25600,12900,900,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Almere,196932,248.77,12400,3900,300,-1,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Amersfoort,152481,63.86,19600,5300,700,-1,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Amsterdam,1678380,890.36,278600,238100,155200,24000,500,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Apeldoorn,158099,341.15,20300,17000,6000,200,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Arnhem,152293,101.54,31100,22700,5900,-1,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Breda,180937,128.68,26000,27100,14200,1400,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eindhoven,447329,275.98,79300,51900,29000,2600,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Enschede,311903,273.96,42200,33300,11300,100,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Gouda,204158,180.01,43500,17700,3000,100,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Groningen,200336,83.75,37000,30900,3700,200,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Heerlen,228028,174.31,33300,31100,16100,500,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Hilversum,217072,160.52,51100,34600,17700,1200,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Maastricht,122397,60.03,21700,18200,11300,500,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Nijmegen,170681,57.60,25200,24700,11600,500,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Rotterdam,1310726,656.19,282600,218000,101500,8300,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,s Hertogenbosch,150899,91.79,24300,24600,11600,1300,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,The Hague,1322251,536.49,236800,220700,110700,5300,100,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Tilburg,211648,119.15,35400,35700,20600,2500,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Utrecht,478138,205.53,133200,83100,25500,200,-1,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Zwolle,123861,119.36,18800,10800,1400,-1,-1,,,,,,,,,,,,,,,,,,,,,,
Norway,Bergen,277391,465.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Norway,Fredrikstad,129317,689.00,16800,12700,8200,2800,100,,,,,,,,,,,,,,,,,,,,,,
Norway,Oslo and adjecent agglomerations,973979,1003.00,208100,141000,105900,49000,4400,,,,,,,,,,,,,,,,,,,,,,
Norway,Stavanger,233560,444.36,26500,22300,14000,3200,600,,,,,,,,,,,,,,,,,,,,,,
Norway,Trondheim,187353,342.00,37900,24500,13600,5200,700,,,,,,,,,,,,,,,,,,,,,,
Poland,Bialystok,296600,102.10,82800,54900,32200,3100,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Bielsko-Biala,173699,124.50,10000,11600,6700,4300,400,,,,,,,,,,,,,,,,,,,,,,
Poland,Bydgoszcz,329188,176.00,105000,64300,25200,6400,400,,,,,,,,,,,,,,,,,,,,,,
Poland,Bytom,172306,69.60,2000,1800,1400,600,100,,,,,,,,,,,,,,,,,,,,,,
Poland,Czestochowa,228179,159.70,35800,34300,26100,9000,100,,,,,,,,,,,,,,,,,,,,,,
Poland,Dabrowa Gornicza,121802,188.70,40000,20000,10000,0,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Elblag,117127,79.50,28800,30900,16000,900,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Gdansk,463764,262.00,75600,45500,18000,4400,400,,,,,,,,,,,,,,,,,,,,,,
Poland,Gdynia,235980,135.10,52200,38700,20400,5800,300,,,,,,,,,,,,,,,,,,,,,,
Poland,Gliwice,183392,133.90,30100,23400,12800,5800,500,,,,,,,,,,,,,,,,,,,,,,
Poland,Gorzow Wielkopolski,115150,85.70,24000,14900,4300,800,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Katowice,296262,165.00,56400,35800,15300,4300,400,,,,,,,,,,,,,,,,,,,,,,
Poland,Kielce,197704,109.70,50000,50000,20000,0,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Koszalin,102034,98.30,27400,23700,13200,3100,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Krakow,766739,326.80,97900,103800,72800,31300,7200,,,,,,,,,,,,,,,,,,,,,,
Poland,Legnica,100718,56.30,24400,22200,11600,10000,2100,,,,,,,,,,,,,,,,,,,,,,
Poland,Lodz,701410,293.20,99300,66300,37400,24300,6900,,,,,,,,,,,,,,,,,,,,,,
Poland,Lublin,340200,147.00,48200,57400,40800,19400,3400,,,,,,,,,,,,,,,,,,,,,,
Poland,Olsztyn,176457,88.00,400,300,100,0,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Opole,127792,148.80,38800,21100,15800,6400,500,,,,,,,,,,,,,,,,,,,,,,
Poland,Plock,119624,88.20,35200,35500,15300,4100,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Poznan,509436,263.20,79100,45500,21300,6300,1000,,,,,,,,,,,,,,,,,,,,,,
Poland,Radom,215653,111.80,29800,18500,7700,2100,100,,,,,,,,,,,,,,,,,,,,,,
Poland,Ruda Slaska,134400,77.70,34500,23000,18900,4300,200,,,,,,,,,,,,,,,,,,,,,,
Poland,Rybnik,132645,148.30,33100,22400,16000,6700,800,,,,,,,,,,,,,,,,,,,,,,
Poland,Rzeszow,188300,120.40,60000,44000,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Sosnowiec,219300,91.00,91000,46000,19100,6300,600,,,,,,,,,,,,,,,,,,,,,,
Poland,Torun,185459,115.80,42900,25000,9400,1700,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Tychy,129449,81.81,16400,11900,5500,800,100,,,,,,,,,,,,,,,,,,,,,,
Poland,Walbrzych,117900,85.00,4600,3700,6400,8900,100,,,,,,,,,,,,,,,,,,,,,,
Poland,Warsaw,1753977,517.20,326200,271700,136900,29700,1500,,,,,,,,,,,,,,,,,,,,,,
Poland,Wloclawek,108841,72.90,21500,12300,2800,200,0,,,,,,,,,,,,,,,,,,,,,,
Poland,Wroclaw,631377,292.80,146400,99600,50600,14000,1200,,,,,,,,,,,,,,,,,,,,,,
Poland,Zabrze,177000,80.40,68900,43600,22600,8900,800,,,,,,,,,,,,,,,,,,,,,,
Poland,Zielona Gora,139330,278.80,25900,23600,13600,5400,100,,,,,,,,,,,,,,,,,,,,,,
Portugal,Amadora,175136,23.80,25600,24100,19800,8900,1300,,,,,,,,,,,,,,,,,,,,,,
Portugal,Lisbon,547733,84.62,86900,79200,57300,18200,1900,,,,,,,,,,,,,,,,,,,,,,
Portugal,Matosinhos,175478,61.91,25600,10900,9400,8900,2400,,,,,,,,,,,,,,,,,,,,,,
Portugal,Odivelas,144549,26.62,18400,22800,16600,2600,0,,,,,,,,,,,,,,,,,,,,,,
Portugal,Oeiras,172120,45.85,27800,15700,9400,800,0,,,,,,,,,,,,,,,,,,,,,,
Portugal,Porto,237591,41.52,10600,8800,7900,6200,4000,,,,,,,,,,,,,,,,,,,,,,
Romania,Arad,179230,4106,16000,8700,3800,1600,0,,,,,,,,,,,,,,,,,,,,,,
Romania,Bacau,197003,3880,34900,36700,36600,19500,1700,,,,,,,,,,,,,,,,,,,,,,
Romania,Baia Mare,147425,3564,17000,16500,14600,1600,100,,,,,,,,,,,,,,,,,,,,,,
Romania,Botosani,121793,1950,14100,12300,6800,1900,100,,,,,,,,,,,,,,,,,,,,,,
Romania,Braila,208201,3674,6300,15600,15100,6400,1000,,,,,,,,,,,,,,,,,,,,,,
Romania,Brasov,290167,11056,24600,16400,9500,1200,100,,,,,,,,,,,,,,,,,,,,,,
Romania,Bucharest,2106144,24190,470000,307800,153400,50200,600,,,,,,,,,,,,,,,,,,,,,,
Romania,Buzau,134498,4720,31000,19600,14100,8600,5500,,,,,,,,,,,,,,,,,,,,,,
Romania,Cluj-Napoca,321687,10472,73000,76200,41600,10200,400,,,,,,,,,,,,,,,,,,,,,,
Romania,Constanta,316777,6042,70000,44700,28600,7800,300,,,,,,,,,,,,,,,,,,,,,,
Romania,Craiova,304089,7063,54100,56200,70400,21800,3500,,,,,,,,,,,,,,,,,,,,,,
Romania,Galati,305093,6452,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Romania,Iasi,362142,6924,63300,49600,33500,13700,500,,,,,,,,,,,,,,,,,,,,,,
Romania,Oradea,196367,8182,45900,28100,19300,5200,1200,,,,,,,,,,,,,,,,,,,,,,
Romania,Pitesti,175653,2812,31100,28800,33900,29900,4100,,,,,,,,,,,,,,,,,,,,,,
Romania,Ploiesti,231491,5412,47600,28900,23600,5800,800,,,,,,,,,,,,,,,,,,,,,,
Romania,Sibiu,169317,5007,22000,32200,30900,23400,8300,,,,,,,,,,,,,,,,,,,,,,
Romania,Targu Mures,149543,3266,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Romania,Timisoara,331988,7600,51100,45200,44200,21500,5100,,,,,,,,,,,,,,,,,,,,,,
Romania,Satu Mare,121128,4186,4600,5100,3500,500,0,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Bratislava,493734,444.42,112600,97100,57200,18700,9000,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Kosicka,226192,113.30,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Ljubljana,274500,275.00,55900,49200,34900,7500,200,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Maribor,106400,147.47,17700,20300,13600,3500,0,,,,,,,,,,,,,,,,,,,,,,
Spain,A Coruna,245700,38.66,17100,47900,80100,66300,26200,,,,,,,,,,,,,,,,,,,,,,
Spain,Albacete,172487,30.29,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Alcala de Henares,194310,88.12,32400,76100,36800,12200,400,,,,,,,,,,,,,,,,,,,,,,
Spain,Alcobendas,115896,44.98,31000,19200,3300,500,100,,,,,,,,,,,,,,,,,,,,,,
Spain,Alcorcon,170336,33.73,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Algeciras,117974,85.80,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Alicante,332067,40.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Almeria,193351,22.11,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Badajoz,137144,20.46,30500,47200,39500,2800,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Baix Llobregat I,478970,50.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Baix Llobregat II,194791,73.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Barcelones I,1637772,105.20,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Barcelones II,335948,28.20,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Bilbao,345474,40.65,45200,75900,70600,18800,300,,,,,,,,,,,,,,,,,,,,,,
Spain,Burgos,174252,107.08,43900,39400,24300,2000,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Cadiz,177776,11.10,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Cartagena,151887,22.70,18400,14700,10100,1600,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Castellon de la Plana,173841,43.48,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Cordoba,328041,30.94,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Dos Hermanas,130369,160.52,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Elche,228647,29.41,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Fuenlabrada,204838,36.75,68400,32000,4200,100,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Getafe,183764,78.69,57100,50600,21000,2300,100,,,,,,,,,,,,,,,,,,,,,,
Spain,Gijon,275735,182.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Girones,127330,46.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Granada,258750,88.02,86000,81800,33300,9700,1200,,,,,,,,,,,,,,,,,,,,,,
Spain,Huelva,147212,151.33,47500,51900,25500,100,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Jaen,115837,424.30,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Jerez de la Frontera,212876,43.68,49700,62100,34700,9300,1400,,,,,,,,,,,,,,,,,,,,,,
Spain,Las Palmas de Gran Canaria,382283,101.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Leganes,186696,43.09,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Leon,129884,39.00,18200,34200,29200,7400,100,,,,,,,,,,,,,,,,,,,,,,
Spain,Lleida,138144,211.70,44500,46500,14500,7900,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Logrono,151962,20.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Madrid,3165883,604.00,577000,445100,147100,27700,1200,,,,,,,,,,,,,,,,,,,,,,
Spain,Malaga,566913,98.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Marbella,138679,116.82,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Mataro,126159,22.53,16200,46500,41600,16700,3000,,,,,,,,,,,,,,,,,,,,,,
Spain,Mostoles,205712,45.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Murcia,439712,886.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Oviedo,221870,187.00,37600,37500,18500,6700,400,,,,,,,,,,,,,,,,,,,,,,
Spain,Palma de Mallorca,399093,213.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Pamplona,340197,134.12,64400,57500,23000,1400,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Parla,125323,24.51,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Reus,104560,52.80,20900,36900,18300,8100,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Salamanca,148042,27.42,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,San Cristobal de La Laguna,153009,102.40,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,San Sebastian - Donostia,180271,60.73,43500,37300,20000,2600,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Santa Cruz de Tenerife,205279,150.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Santander,176256,34.76,24500,23200,15600,5500,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Sevilla,696676,140.09,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Tarragona,138006,65.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Telde,102070,102.43,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Torrejon de Ardoz,126878,32.62,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Valencia,791632,134.65,228100,145400,110900,52100,2300,,,,,,,,,,,,,,,,,,,,,,
Spain,Valladolid,306830,197.91,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Valles Occidental I,253547,47.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Valles Occidental II,222912,90.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Spain,Vigo,289784,104.87,48900,38600,44200,14900,300,,,,,,,,,,,,,,,,,,,,,,
Spain,Vitoria - Gazteiz,244634,276.80,58000,53700,26900,4100,0,,,,,,,,,,,,,,,,,,,,,,
Spain,Zaragoza,666058,967.07,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Sweden,Boras,107022,909.90,19500,13100,5200,900,100,,,,,,,,,,,,,,,,,,,,,,
Sweden,Eskilstuna,100923,1099.87,8800,6000,1500,0,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Gothenburg,541145,449.50,99900,52900,24900,2500,500,,,,,,,,,,,,,,,,,,,,,,
Sweden,Helsingborg,135344,343.89,26800,14800,6000,800,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Huddinge,104185,131.01,17200,11700,5200,2100,100,,,,,,,,,,,,,,,,,,,,,,
Sweden,Jonkoping,132140,1480.36,17500,12400,3300,1400,700,,,,,,,,,,,,,,,,,,,,,,
Sweden,Linkoping,151881,1427.44,17800,9000,4900,300,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Lund,115968,427.23,16800,10000,4200,100,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Malmo,318107,156.60,89800,52400,29600,1200,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Norrkoping,135283,1495.05,15700,10000,5700,900,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Orebro,142618,1373.02,18600,7800,2800,400,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Stockholm,911989,187.17,169700,146200,79100,25600,1100,,,,,,,,,,,,,,,,,,,,,,
Sweden,Umea,119613,2316.61,20600,10700,3100,300,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Uppsala,207362,2182.80,50500,21800,8100,2100,0,,,,,,,,,,,,,,,,,,,,,,
Sweden,Vasteras,143702,957.89,31300,15300,4100,1600,600,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Baden-Brugg,105606,91.48,28900,18800,10600,2900,100,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Basel,527225,695.22,134100,81000,67400,16400,200,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Bern,398873,780.97,96900,66500,39100,6500,800,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Biel/Bienne,101271,169.33,22400,17100,11700,5200,200,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Fribourg,100111,221.96,28800,17600,11100,1600,300,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Geneva,552305,538.08,122300,133500,93600,61900,12400,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Lausanne,389614,774.36,111700,81200,51900,15100,1100,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Lucerne,220741,291.84,60900,41600,21300,11100,2500,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Lugano,145576,306.82,41700,31000,20200,9500,1600,,,,,,,,,,,,,,,,,,,,,,
Switzerland,St. Gallen,162795,317.87,42900,27400,18400,3900,400,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Winterthur,133691,148.49,30400,20500,13400,3500,300,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Zug,121269,227.98,33500,21500,11000,2800,200,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Zurich,1280944,1309.20,332800,220700,146600,30700,3300,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Aldershot Urban Area,254000,77.83,46600,19700,11500,5300,600,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Basildon/North Benfleet,111000,24.92,7500,4200,2400,600,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bedford/Kempston,107000,23.54,4400,2500,4400,3200,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Birkenhead,324000,89.11,62500,18600,12200,5500,400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Blackburn/Darwen,143000,32.07,20500,6300,5900,3900,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Blackpool,261000,65.86,8200,5300,9000,3000,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bournemouth,432000,108.15,18500,11300,13100,10400,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Brighton/Worthing/Littlehampton,518000,94.09,28700,12200,21200,16000,300,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bristol,639000,139.78,97400,31900,22700,21100,3400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Burnley/Nelson,146000,30.27,24600,7200,5600,4600,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Cambridge Urban Area,152000,36.08,12400,5300,8600,3800,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Cheltenham/Charlton Kings,116000,27.12,6500,3100,5700,2800,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Chesterfield/Staveley,104000,28.31,4400,2200,2500,1600,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Colchester,121000,29.65,6600,4300,4000,2500,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Coventry/Bedworth,378000,75.56,57600,16600,9000,3400,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Crawley Urban Area,198000,54.02,40700,14300,8400,4200,300,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dearne Valley Urban Area,215000,52.92,26000,7500,6200,4400,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Derby Urban Area,262000,57.01,14200,6600,7900,6100,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Doncaster Urban Area,134000,34.97,28400,7100,3900,2800,700,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Eastbourne,119000,23.56,5300,2400,5100,2900,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Exeter,119000,25.16,8400,3700,1800,1900,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Gloucester Urban Area,148000,35.38,23800,5800,4200,1300,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Grimsby/Cleethorpes,137000,34.17,4200,2700,4800,2300,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hastings/Bexhill,135000,31.94,4700,4100,6400,5900,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,High Wycombe Urban Area,129000,32.80,23900,9300,7300,4800,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Ipswich Urban Area,160000,40.56,13400,4400,5500,5100,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Kingston upon Hull,310000,80.45,7300,4200,4800,3100,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Leicester,501000,101.64,64800,19900,15800,8100,1400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Lincoln Urban Area,111000,30.38,3600,1700,2400,2200,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Liverpool,837000,186.17,118500,37000,32100,26300,2400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,London,9878000,1623.37,1057200,446100,481500,565000,97800,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Luton/Dunstable,271000,48.95,36700,10300,5900,4100,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Manchester,2474000,556.71,478400,176900,115400,92000,11100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Mansfield Urban Area,169000,45.20,9200,3500,3800,2100,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Milton Keynes Urban Area,206000,57.30,17600,5400,2000,200,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Northampton Urban Area,217000,52.58,30100,10100,8700,6100,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Norwich Urban Area,209000,56.27,9600,5800,8900,4200,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Nottingham,730000,158.52,92500,29400,22200,18900,3200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Nuneaton Urban Area,134000,32.52,4100,1800,1800,500,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Oxford,166000,31.63,12500,5100,8400,5700,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Peterborough,153000,40.47,12500,6600,3800,1100,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Plymouth,266000,60.88,12700,6000,3700,3200,600,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Portsmouth,479000,94.52,87000,27600,19200,13400,1200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Preston,275000,60.62,70300,20200,9100,5400,400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Reading/Wokingham,393000,93.17,73300,26200,17100,9700,300,,,,,,,,,,,,,,,,,,,,,,
