Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
France,Angers,283200,553.06,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Angouleme,110900,184.25,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Annecy,150000,152.55,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Annemasse,121700,178.52,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Arras,110200,305.97,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Aubergenville,411100,504.72,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Avignon,279700,507.91,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Bayonne,195400,313.80,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Beauchamp,270700,87.24,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Besancon,139300,122.36,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Bethune,263100,389.59,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Bordeaux,774900,578.27,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Brest,213000,218.37,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Brunoy,177800,66.36,71300,17000,12300,3800,0,,,,,,,,,,,,,,,,,,,,,,
France,Caen,268900,351.76,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Calais,104800,136.50,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Cannes,160800,94.83,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Cergy,205700,84.16,81700,32600,9500,1500,200,,,,,,,,,,,,,,,,,,,,,,
France,Chambery,123300,157.89,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Clermont-Ferrand,291800,300.63,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Courcouronnes,347000,221.19,134400,64900,15700,2500,200,,,,,,,,,,,,,,,,,,,,,,
France,Dijon,256100,239.96,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Douai - Lens,518900,489.14,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Dunkerque,203800,280.43,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Fort-de-France,135600,127.11,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Grenoble,451800,545.54,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Hénin-Beaumont,125900,112.07,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,La Rochelle,123600,92.76,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Le Havre,240300,190.65,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Le Mans,210900,267.05,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Le Pecq,341300,139.10,111700,39400,34200,9400,400,,,,,,,,,,,,,,,,,,,,,,
France,Lens,245000,239.38,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Lille,1154100,647.78,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Limoges,180800,199.49,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Lorient,120600,106.77,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Lyon,1375000,533.68,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Marseille,1886800,3149.22,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Maubeuge,100000,129.55,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Metz,328700,362.49,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Montbeliard,111800,140.28,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Montmorency,183100,74.08,69000,23600,17500,3700,100,,,,,,,,,,,,,,,,,,,,,,
France,Montpellier,457800,421.83,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Mulhouse,242700,215.03,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Nancy,260700,142.30,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Nantes,636000,523.35,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Nice,545000,1465.81,104100,121300,70000,12100,500,,,,,,,,,,,,,,,,,,,,,,
France,Nimes,164900,220.64,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Orleans,287100,334.32,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Orsay,313800,185.85,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Paris,7068800,814.24,1963100,1694100,1423800,400000,25400,,,,,,,,,,,,,,,,,,,,,,
France,Pau,200000,449.71,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Perpignan,268500,616.68,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Pointe-a-Pitre - Les Abymes,180200,430.50,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Poitiers,130400,167.87,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Reims,299100,1432.36,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Rennes,444700,705.03,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Roissy-en-France,349500,340.88,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Rouen,499600,663.83,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Saint-Denise-de-la-Reunion,170800,230.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Sainte-Geneviève-des-Bois,196000,132.70,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
